Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy,Convergance (Dynamic),Convergance (Scratch)
0,0,0.9964646464646465,0.998989898989899,18.529210090637207,17.263115167617798
0,1,0.9974747474747475,1.0,6.611982107162476,16.85452699661255
0,2,0.9964646464646465,1.0,4.937337875366211,16.90186905860901
0,3,0.996969696969697,0.9994949494949495,12.972570896148682,18.14838218688965
0,4,0.9984848484848485,0.9994949494949495,8.545389175415039,18.406824827194214
0,5,0.996969696969697,0.998989898989899,15.976671934127808,30.58552122116089
0,6,0.996969696969697,1.0,14.446070194244385,18.765588998794556
0,7,0.998989898989899,1.0,7.033792018890381,19.0503671169281
0,8,0.9949494949494949,0.9984848484848485,16.759634017944336,25.616600036621094
0,9,0.9984848484848485,1.0,5.933371067047119,18.254239082336426
1,0,0.9976580796252927,1.0,6.593404769897461,27.873727083206177
1,1,0.9990632318501171,1.0,6.391739845275879,25.92070198059082
1,2,1.0,1.0,6.384824752807617,20.016881227493286
1,3,0.9981264637002342,1.0,8.162901878356934,26.098584175109863
1,4,0.9995316159250586,1.0,6.591654062271118,19.738524913787842
1,5,0.9995316159250586,1.0,6.7711100578308105,32.36189913749695
1,6,0.9995316159250586,1.0,6.671952962875366,26.61947798728943
1,7,1.0,1.0,8.939045190811157,20.916846752166748
1,8,0.9995316159250586,0.9990632318501171,6.948207855224609,20.239173889160156
1,9,0.9995316159250586,1.0,7.027208089828491,20.038360834121704
2,0,0.9945866141732284,0.999507874015748,15.385273218154907,27.69289803504944
2,1,0.9970472440944882,1.0,8.787883758544922,20.669713020324707
2,2,0.9985236220472441,1.0,6.733732223510742,26.386273860931396
2,3,0.9926181102362205,0.999507874015748,10.839630842208862,27.60231590270996
2,4,0.999507874015748,1.0,21.85081124305725,26.176817893981934
2,5,0.984251968503937,1.0,11.865633964538574,31.855979204177856
2,6,0.9965551181102362,0.999507874015748,11.772525072097778,19.81945490837097
2,7,0.9980314960629921,1.0,16.540735960006714,19.942927837371826
2,8,0.9906496062992126,0.9975393700787402,8.054797172546387,19.334332942962646
2,9,0.9990157480314961,1.0,6.732606887817383,19.454703092575073
3,0,0.9970149253731343,1.0,9.928148984909058,32.764214754104614
3,1,0.9990049751243781,1.0,10.139791011810303,19.39293599128723
3,2,0.9985074626865672,1.0,9.477350950241089,26.082171201705933
3,3,0.9980099502487563,0.9995024875621891,9.445149898529053,20.237679958343506
3,4,0.9980099502487563,0.9995024875621891,9.647662162780762,26.829778909683228
3,5,0.9970149253731343,1.0,15.577661037445068,39.06669807434082
3,6,0.9965174129353234,1.0,6.184798955917358,21.214970111846924
3,7,0.9990049751243781,1.0,12.018148183822632,19.821425199508667
3,8,0.9960199004975124,0.9990049751243781,7.377994060516357,19.62654423713684
3,9,0.9985074626865672,1.0,8.810667991638184,25.58012819290161
4,0,0.9964682139253279,1.0,7.344287872314453,19.24967098236084
4,1,0.9989909182643795,1.0,11.416247129440308,19.3519868850708
4,2,0.9989909182643795,0.9994954591321897,11.637267112731934,19.22181510925293
4,3,0.9974772956609486,0.9994954591321897,9.916112184524536,26.329391956329346
4,4,0.9974772956609486,1.0,6.994994878768921,25.272334098815918
4,5,0.9934409687184662,0.9984863773965691,7.4146339893341064,19.1302649974823
4,6,0.9974772956609486,0.9994954591321897,6.778374195098877,25.496485948562622
4,7,0.9974772956609486,1.0,5.922708988189697,25.801244974136353
4,8,0.9949545913218971,1.0,18.947047233581543,52.01783609390259
4,9,0.9989909182643795,1.0,6.154841184616089,19.176356077194214
5,0,0.9968287526427061,1.0,13.518368005752563,36.02218008041382
5,1,0.9978858350951374,0.9994714587737844,6.644917011260986,18.70669436454773
5,2,0.9984143763213531,0.9994714587737844,7.425966024398804,24.263463020324707
5,3,0.9978858350951374,1.0,17.8809552192688,18.412105083465576
5,4,0.9978858350951374,0.9989429175475687,8.554372072219849,17.938000202178955
5,5,0.9947145877378436,1.0,8.837002992630005,23.968001127243042
5,6,0.9963002114164905,1.0,6.1319098472595215,19.15208387374878
5,7,0.9984143763213531,1.0,7.943198919296265,18.346096992492676
5,8,0.9957716701902748,0.9994714587737844,8.905677795410156,18.83771324157715
5,9,0.9984143763213531,0.9889006342494715,5.667385101318359,18.890710592269897
6,0,0.9969356486210419,1.0,16.051501035690308,19.53264093399048
