#Dataset,Static,Update,Stacking,Scratch
2,52.99735294117645,92.21470588235296,91.06029411764706,91.97088235294117
3,30.5235294117647,89.10617647058824,87.40382352941178,88.35735294117646
4,31.3678125,90.4975,87.851875,89.22999999999998
