Combination,Modularized Accuracy,Trained Model Accuracy,Accuracy Delta,Update Time,Scratch Time,Modular Eval Time
(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-),0.9669232962646136,0.9644995722840034,0.002423723980610193,N/A,57.835455894470215,0.000663535969529969
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-),0.38675054625783367,0.8580530010164797,-0.47130245475864607,N/A,1361.018042087555,0.0066508657845017255
(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.88655,0.9405,-0.05395000000000005,N/A,283.66003918647766,0.0025290568590164183
(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-),0.2823192146837265,0.9281822807431217,-0.6458630660593951,N/A,1024.1193661689758,0.005479062002542722
(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-),0.558120879396355,0.9556792258905518,-0.39755834649419675,N/A,953.9528391361237,0.0018305038223023705
(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-),0.715700017522341,0.9840546697038725,-0.26835465218153143,N/A,148.78196215629578,0.0009208438650037312
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-),0.17206673970097966,0.8712021500461062,-0.6991354103451266,N/A,3053.8205728530884,0.005668700592113533
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-),0.4125641567828377,0.8956863574325753,-0.4831222006497376,N/A,1707.374929189682,0.0038734714624797917
(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-),0.1930523744083066,0.8675752023209651,-0.6745228279126585,N/A,1175.8923840522766,0.0060922068700587995
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-),0.24216878928574517,0.8994890151220398,-0.6573202258362947,N/A,1596.6896297931671,0.006324738930686617
(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-),0.8905360134003351,0.9340033500837521,-0.04346733668341707,N/A,184.63308310508728,0.0019461930696688704
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-),0.5339072474982853,0.8631926979828002,-0.32928545048451485,N/A,1707.0969169139862,0.0052465811366299965
(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-),0.5537638971399473,0.9799711448697276,-0.42620724772978025,N/A,82.6408121585846,0.0015928780679476946
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-),0.19788850470513675,0.894569638430498,-0.6966811337253612,N/A,1897.50527882576,0.007307068761136733
(emnist:1-2-3-4-5-6-8-9-10-11-14-16-18-19-20-21-22-23-24-25-26-28-29-31-32-34-35-36-37-38-39-40-41-42-43-46-50-52-54-55-57-58-60-61-)(fmnist:0-2-3-4-6-9-)(kmnist:1-2-3-4-5-8-),0.41072201040210055,0.911632445700834,-0.5009104352987335,N/A,1203.6392359733582,0.004057562217030459
(emnist:1-2-5-9-11-12-13-14-20-23-26-28-30-33-35-38-40-41-43-46-52-58-)(fmnist:0-1-3-4-5-9-)(mnist:1-5-6-9-),0.4243160866882328,0.9540380336206735,-0.5297219469324408,N/A,917.5400228500366,0.004933102226874335
(emnist:0-1-2-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-33-35-37-38-39-40-41-42-44-45-46-47-48-49-50-51-52-53-55-56-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-),0.32420145513633913,0.8615246980637741,-0.5373232429274349,N/A,1643.5612058639526,0.003913052931347562
(emnist:9-13-23-40-59-)(fmnist:1-2-3-4-6-9-)(kmnist:0-1-2-4-5-6-7-8-9-)(mnist:0-3-4-6-7-8-9-),0.6020280311197879,0.953669978728984,-0.3516419476091961,N/A,636.7889490127563,0.005023069289178086
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-8-9-),0.24474775167562055,0.8576147439829149,-0.6128669923072944,N/A,1176.1451897621155,0.006491530014939814
(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-),0.23032043891384726,0.9042957102532501,-0.6739752713394028,N/A,1302.9868099689484,0.004130013973979369
(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-),0.2818543380821111,0.8726562993203005,-0.5908019612381894,N/A,1484.897539138794,0.003117839587321524
(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-),0.7619038520330175,0.9309079792112503,-0.16900412717823288,N/A,1521.650800228119,0.003124033496380581
(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-),0.9217596693238854,0.9973427812223207,-0.07558311189843525,N/A,98.89951920509338,0.0007201567279014892
(emnist:2-7-36-61-)(fmnist:0-1-2-4-5-6-9-)(kmnist:0-4-7-8-)(mnist:1-2-3-9-),0.5492847143978968,0.9541807504523883,-0.4048960360544914,N/A,898.715616941452,0.001240906472326428
(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:2-3-4-5-7-8-),0.9093712293873173,0.9604504625284891,-0.0510792331411718,N/A,599.6789429187775,0.0020930202577209675
(fmnist:0-1-2-3-4-6-7-8-)(mnist:1-2-4-5-6-7-),0.8966992229272118,0.9310615242033221,-0.034362301276110285,N/A,429.35726594924927,0.001243022177082904
(emnist:15-36-43-)(fmnist:0-1-2-3-6-7-8-)(mnist:0-2-4-),0.6888782029264271,0.9493027409493714,-0.2604245380229443,N/A,239.2802858352661,0.0007486632460379098
(emnist:14-41-47-)(kmnist:0-1-),0.7938126512270999,0.9915312824058071,-0.19771863117870725,N/A,78.41285109519958,0.00047506809729092514
(emnist:0-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-31-33-34-37-39-42-45-47-49-50-51-52-53-55-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-9-),0.25051479403662585,0.9159307018587497,-0.6654159078221238,N/A,2886.539374113083,0.003486405960122528
(emnist:0-1-3-6-7-8-9-10-14-15-16-20-21-22-27-28-30-32-33-34-35-37-38-41-42-43-45-47-48-49-51-52-53-54-57-58-)(fmnist:1-7-)(mnist:0-1-2-3-4-5-6-7-9-),0.2994672848792759,0.9259378005771081,-0.6264705156978322,N/A,1849.3290889263153,0.003146288039008266
(emnist:29-30-58-)(mnist:2-),0.5652944652353752,0.9956667323222376,-0.4303722670868624,N/A,102.39373898506165,0.0002902231748023793
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-2-3-4-6-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.1981521677848565,0.8646402999379827,-0.6664881321531262,N/A,1549.2733240127563,0.0033822441632700468
