Combination,Modularized Accuracy,Inference Time
(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-),0.877,0.016042619943618774
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-),0.715,0.17384371614456176
(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.854,0.04768787813186646
(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-),0.734,0.13777014207839966
(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-),0.777,0.07030651593208313
(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-),0.811,0.033824851989746094
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-),0.684,0.17872891092300416
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-),0.719,0.13937843680381776
(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-),0.688,0.19015600895881654
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-),0.715,0.15289524984359742
(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-),0.794,0.027515713930130005
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-),0.698,0.14250456976890563
(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-),0.833,0.02969798707962036
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-),0.691,0.1671651051044464
(emnist:1-2-3-4-5-6-8-9-10-11-14-16-18-19-20-21-22-23-24-25-26-28-29-31-32-34-35-36-37-38-39-40-41-42-43-46-50-52-54-55-57-58-60-61-)(fmnist:0-2-3-4-6-9-)(kmnist:1-2-3-4-5-8-),0.732,0.13089307713508605
(emnist:1-2-5-9-11-12-13-14-20-23-26-28-30-33-35-38-40-41-43-46-52-58-)(fmnist:0-1-3-4-5-9-)(mnist:1-5-6-9-),0.837,0.07490593314170838
(emnist:0-1-2-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-33-35-37-38-39-40-41-42-44-45-46-47-48-49-50-51-52-53-55-56-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-),0.693,0.14621203780174255
(emnist:9-13-23-40-59-)(fmnist:1-2-3-4-6-9-)(kmnist:0-1-2-4-5-6-7-8-9-)(mnist:0-3-4-6-7-8-9-),0.785,0.061423249006271365
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-8-9-),0.638,0.1843646788597107
(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-),0.732,0.13675269985198973
(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-),0.707,0.11068881893157959
(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-),0.758,0.07168542695045471
(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-),0.913,0.009245630979537964
(emnist:2-7-36-61-)(fmnist:0-1-2-4-5-6-9-)(kmnist:0-4-7-8-)(mnist:1-2-3-9-),0.772,0.04244456505775452
(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:2-3-4-5-7-8-),0.9,0.03418497109413147
(fmnist:0-1-2-3-4-6-7-8-)(mnist:1-2-4-5-6-7-),0.857,0.031774503707885746
(emnist:15-36-43-)(fmnist:0-1-2-3-6-7-8-)(mnist:0-2-4-),0.873,0.02945725107192993
(emnist:14-41-47-)(kmnist:0-1-),0.969,0.011400579929351807
(emnist:0-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-31-33-34-37-39-42-45-47-49-50-51-52-53-55-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-9-),0.766,0.1445942509174347
(emnist:0-1-3-6-7-8-9-10-14-15-16-20-21-22-27-28-30-32-33-34-35-37-38-41-42-43-45-47-48-49-51-52-53-54-57-58-)(fmnist:1-7-)(mnist:0-1-2-3-4-5-6-7-9-),0.801,0.10654744195938111
(emnist:29-30-58-)(mnist:2-),0.926,0.00922153115272522
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-2-3-4-6-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.659,0.19688689517974853
(emnist:4-6-45-)(fmnist:2-4-9-)(kmnist:0-1-2-3-4-6-7-8-9-)(mnist:0-1-4-5-7-),0.823,0.0455571129322052
(emnist:24-61-)(fmnist:4-)(kmnist:2-7-)(mnist:0-),0.847,0.013763901948928833
(emnist:0-2-6-23-26-31-32-37-38-41-44-46-50-51-55-59-)(kmnist:0-1-2-3-6-7-8-9-),0.824,0.05584527277946472
(emnist:2-22-23-29-31-53-)(fmnist:8-)(kmnist:0-2-8-)(mnist:0-1-2-3-4-5-7-8-9-),0.834,0.04403065896034241
(emnist:0-2-3-4-5-6-8-11-12-13-14-15-16-17-21-22-24-25-26-27-28-30-33-34-35-37-38-39-40-41-43-44-45-46-47-48-50-51-53-56-57-58-60-61-)(fmnist:0-1-2-4-6-7-8-9-)(kmnist:0-1-2-3-5-6-7-8-9-)(mnist:0-1-2-4-5-6-7-8-9-),0.707,0.16013663220405577
(emnist:17-42-48-54-)(mnist:1-3-6-8-9-),0.891,0.021020455837249756
