Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
0,0.6682789826806054,0.6726820634555738,0.6561678545266755,0.6465211035815217,0.8258229956111088,2.699823153985513,130.4080160824028,0.00011479359262916079
1,0.5810913224706328,0.6177528015126614,0.5445902710537515,0.5481807000450514,0.7685869282448649,2.69720476970338,108.97513679035923,0.00011877388872155343
2,0.7107893829713892,0.7248835909501862,0.6841444855541569,0.6783924448400348,0.8401909937055176,2.7227257245626206,141.5118806301019,0.00011060530304943524
3,0.7641096521538816,0.7801407032491361,0.7606538558429474,0.7505384743429541,0.8779232067830673,2.662680721282959,101.41776014328003,0.00012612282968945998
4,0.8793522267206477,0.8362563289659516,0.836085669571443,0.8169746448592877,0.915110578573891,2.7705887272244407,65.3743858450935,0.00013440578273893068
Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
5,0.6032991672005125,0.6436342334494228,0.5770905329857786,0.5873785644427784,0.7859151703603015,2.7685147743476066,133.1464507266095,0.00012651621730663863
6,0.5877271909303581,0.6183070485155789,0.5496000149372903,0.5565823130525533,0.7716140524887518,2.738293564680851,119.78952790390362,0.00011740700482636977
7,0.6659062993507633,0.6498242981323595,0.5714487897703393,0.5882756998491326,0.7831091242279422,2.728037995558519,119.57429443872891,0.00011574148042451688
8,0.9421965317919075,0.9041123394981183,0.9004215204215205,0.901124355372918,0.9465894000721151,2.6898220115237765,17.816390832265217,0.00020557343385582485
9,0.6084656084656085,0.7295970521961032,0.6339994177046587,0.640979513611035,0.8137945015153676,2.7583663117501045,118.99548257935432,0.0001238493609356724
10,0.7581888246628131,0.8147646552581745,0.7446713500426627,0.7609084977830559,0.8694010170245448,2.7720229568935575,69.14018050261906,0.00013930739534518462
Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
5,0.8071748878923767,0.7298310981010091,0.7416696048186671,0.7226521441197743,0.8695417133187634,2.758207437239195,41.116891766849314,0.00012309779878564436
6,0.8243656649271189,0.7303543823770633,0.7481837414344557,0.7274141429730978,0.8727285164502552,2.7137323798555317,38.004324385614105,0.00011457418228062795
7,0.8434813125109668,0.7189394019975793,0.7418645444746533,0.7187273064880632,0.869705617550611,2.709081987234262,38.68384946309603,0.00011441135080823508
8,0.9494219653179191,0.9113010968426032,0.9062853868736221,0.908529836508494,0.949998436297146,2.670481416914198,5.7666814592149525,0.0002097369159117829
9,0.8223443223443223,0.7728791507720526,0.7933531214994285,0.7679464727978357,0.8952018511945538,2.7651653751250236,32.54526351344201,0.00012557788780863787
10,0.8863198458574181,0.8445493004294524,0.8580254116686038,0.8433357093014664,0.9276104038137312,2.7837675639561246,22.373641138985043,0.000130009978583972
11,0.8115522235474527,0.729232769449844,0.7471221012722731,0.7254372522960209,0.8720092780702705,2.711893020137664,36.606034228878634,0.00011842217630747162
12,0.8790269559500329,0.8105919786677268,0.8227630200596942,0.8102972814652805,0.9103064479893976,2.6471366430151053,29.415313889240398,0.00012858742752391725
13,0.9052964881980426,0.8411433032137495,0.8664312848041756,0.8482425522509536,0.9318814679020669,2.6838034616934285,24.727357542192614,0.0001309830677711672
14,0.9753086419753086,0.9603254763443838,0.9620805369127516,0.9610970760941641,0.9793680276537002,2.7299340069293976,5.582393139600754,0.0002237785561585132
15,0.9539568345323741,0.9385303806101886,0.9428019894144756,0.9398462251816839,0.9701953391592388,2.672426664829254,11.954421317577362,0.00014124556411084513
16,0.9562130177514793,0.9571056864892398,0.9565186612817844,0.9557381410939157,0.9768906028526603,2.6841991508708283,5.966393456739538,0.00020934258277433658
17,0.9189799870884442,0.8146965779275145,0.8310552675994075,0.8147508355118684,0.9143438902513765,2.7022997924259733,21.56381152016776,0.00013614854150336024
18,0.9075528700906345,0.8387618969442338,0.8583423592777115,0.8449286796313001,0.9279444452394754,2.7122177466368065,24.241264734512722,0.00014647596598465684
19,0.979757085020243,0.9745956873315365,0.9883720930232558,0.9810324542723263,0.9917530262020549,2.5693950176239015,2.486117458343506,0.0003099317975372438
20,0.8728682170542635,0.8176256135167689,0.8352865845895535,0.822574335473806,0.9162700055012382,2.696781282623609,26.280709554751713,0.00014211579091994543
Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
0,0.8168200967389608,0.7130736094857385,0.746187989135821,0.7167200373128055,0.8718323360321623,2.790970354466825,40.44379741758914,0.00011499015803134666
1,0.8147025388404698,0.6854901382939718,0.7252705136036487,0.6916539073871841,0.8609643246086431,2.7713347066912735,34.108165515096566,0.00011831473526921335
2,0.8335056876938987,0.7524201235327295,0.7704073980681334,0.7516285978970849,0.8841168076940619,2.790624459584554,39.44249064800067,0.00013807385537977944
3,0.8562543192812716,0.7820356000798894,0.827282550704764,0.7990638119277992,0.9121571147027047,2.7718492937088013,27.724230771064757,0.00013616225544249124
4,0.9473684210526315,0.8676620511253422,0.8961661774117319,0.8782304497334066,0.9467784499100007,2.893703199568249,18.63997315225147,0.00013959998911645616
