Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
0,93.67,91.0,93.0,95.32,690.87,1492.42,2064.32,3,7,2,0,1,4,(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-)
1,76.41,7.11,81.32,80.77,2304.25,127622.53,43212.91,2,70,0,61,9,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-)
2,91.44,81.12,91.19,92.05,1039.74,14319.06,7527.98,2,20,10,0,10,0,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
3,86.29,16.14,86.45,86.78,1767.79,108415.15,22912.72,4,54,4,38,2,10,(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-)
4,92.62,45.41,91.26,93.17,1289.4,38119.58,15335.22,4,28,9,4,9,6,(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-)
5,95.76,61.92,94.58,97.44,737.62,7022.3,2606.43,4,12,1,4,4,3,(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-)
6,78.14,7.87,80.92,81.44,2268.97,134412.86,25831.25,4,72,6,60,3,3,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-)
7,78.78,12.29,84.5,84.97,1974.07,47313.34,29407.49,3,56,1,53,2,0,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-)
8,79.13,11.25,81.28,80.94,2051.0,111696.1,45414.11,4,77,6,59,6,6,(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-)
9,83.53,15.5,84.28,83.96,2250.3,136588.32,39779.26,4,67,5,44,8,10,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-)
10,90.13,83.38,88.2,91.11,797.2,4593.52,2260.82,3,12,2,0,7,3,(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-)
11,77.47,13.55,80.84,81.24,2353.11,63765.07,27640.87,2,61,2,59,0,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-)
12,96.44,44.17,94.49,97.31,875.88,8569.65,3178.8,3,13,2,8,3,0,(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-)
13,82.07,11.16,83.12,82.82,2487.86,163755.09,27844.88,3,73,9,56,0,8,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-)
