Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
14,82.51,12.09,86.02,85.63,1773.78,110264.63,24780.2,3,56,0,44,6,6,(emnist:1-2-3-4-5-6-8-9-10-11-14-16-18-19-20-21-22-23-24-25-26-28-29-31-32-34-35-36-37-38-39-40-41-42-43-46-50-52-54-55-57-58-60-61-)(fmnist:0-2-3-4-6-9-)(kmnist:1-2-3-4-5-8-)
15,86.69,18.8,91.6,92.81,1272.71,31379.81,15888.66,3,32,4,22,6,0,(emnist:1-2-5-9-11-12-13-14-20-23-26-28-30-33-35-38-40-41-43-46-52-58-)(fmnist:0-1-3-4-5-9-)(mnist:1-5-6-9-)
16,79.97,8.47,82.1,81.64,1731.54,87237.41,26599.57,2,64,0,54,10,0,(emnist:0-1-2-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-33-35-37-38-39-40-41-42-44-45-46-47-48-49-50-51-52-53-55-56-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)
17,92.63,51.11,91.12,92.15,1452.75,44164.37,8348.22,4,27,7,5,6,9,(emnist:9-13-23-40-59-)(fmnist:1-2-3-4-6-9-)(kmnist:0-1-2-4-5-6-7-8-9-)(mnist:0-3-4-6-7-8-9-)
18,77.83,11.17,80.55,79.78,2414.58,145588.59,41410.02,3,81,0,62,10,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-8-9-)
19,80.0,7.63,85.5,86.42,2079.32,76814.68,38755.24,3,60,6,52,2,0,(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-)
20,78.62,6.24,82.95,83.46,1669.64,70714.09,24869.59,3,49,2,43,4,0,(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-)
21,79.25,27.56,88.38,89.73,1382.23,26157.64,20951.79,2,31,2,29,0,0,(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-)
22,96.52,80.72,96.49,99.62,695.28,1139.83,572.13,4,4,1,1,1,1,(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-)
23,90.48,42.13,91.61,92.85,887.39,22015.27,9429.29,4,19,4,4,7,4,(emnist:2-7-36-61-)(fmnist:0-1-2-4-5-6-9-)(kmnist:0-4-7-8-)(mnist:1-2-3-9-)
24,94.07,82.81,92.84,93.85,959.18,6238.15,2767.47,2,15,6,0,9,0,(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:2-3-4-5-7-8-)
25,90.7,83.66,90.54,90.8,952.04,7002.16,4038.52,2,14,6,0,8,0,(fmnist:0-1-2-3-4-6-7-8-)(mnist:1-2-4-5-6-7-)
26,93.38,58.23,93.05,94.4,832.59,9804.79,5609.12,3,13,3,3,7,0,(emnist:15-36-43-)(fmnist:0-1-2-3-6-7-8-)(mnist:0-2-4-)
27,98.1,55.29,97.84,98.79,776.44,2229.28,1958.62,2,5,0,3,0,2,(emnist:14-41-47-)(kmnist:0-1-)
28,84.22,15.43,85.94,85.84,2182.62,85762.58,24320.81,4,63,3,40,10,10,(emnist:0-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-31-33-34-37-39-42-45-47-49-50-51-52-53-55-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-9-)
29,84.23,13.12,88.62,89.36,2023.61,63864.6,21318.26,3,47,9,36,2,0,(emnist:0-1-3-6-7-8-9-10-14-15-16-20-21-22-27-28-30-32-33-34-35-37-38-41-42-43-45-47-48-49-51-52-53-54-57-58-)(fmnist:1-7-)(mnist:0-1-2-3-4-5-6-7-9-)
30,96.51,46.17,96.43,99.43,731.47,1328.39,1771.35,2,4,1,3,0,0,(emnist:29-30-58-)(mnist:2-)
31,77.65,14.21,80.61,80.01,2512.02,238256.63,31605.94,4,87,10,61,7,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-2-3-4-6-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
32,93.47,49.85,92.89,94.23,1141.38,42644.68,13424.52,4,20,5,3,3,9,(emnist:4-6-45-)(fmnist:2-4-9-)(kmnist:0-1-2-3-4-6-7-8-9-)(mnist:0-1-4-5-7-)
33,93.64,42.6,86.72,98.38,935.52,1754.59,1994.47,4,6,1,2,1,2,(emnist:24-61-)(fmnist:4-)(kmnist:2-7-)(mnist:0-)
34,88.47,20.82,91.9,92.73,1474.15,20010.54,6546.46,2,24,0,16,0,8,(emnist:0-2-6-23-26-31-32-37-38-41-44-46-50-51-55-59-)(kmnist:0-1-2-3-6-7-8-9-)
35,95.91,45.28,94.61,97.46,1037.27,17508.27,9101.34,4,19,9,6,1,3,(emnist:2-22-23-29-31-53-)(fmnist:8-)(kmnist:0-2-8-)(mnist:0-1-2-3-4-5-7-8-9-)
36,82.76,18.62,83.56,83.84,2328.68,104549.59,47679.26,4,70,9,44,8,9,(emnist:0-2-3-4-5-6-8-11-12-13-14-15-16-17-21-22-24-25-26-27-28-30-33-34-35-37-38-39-40-41-43-44-45-46-47-48-50-51-53-56-57-58-60-61-)(fmnist:0-1-2-4-6-7-8-9-)(kmnist:0-1-2-3-5-6-7-8-9-)(mnist:0-1-2-4-5-6-7-8-9-)
37,97.31,71.09,96.82,97.97,790.21,2637.98,2356.25,2,9,5,4,0,0,(emnist:17-42-48-54-)(mnist:1-3-6-8-9-)
38,86.43,56.23,91.02,91.91,1509.22,37934.49,35643.83,2,37,0,36,0,1,(emnist:1-2-3-4-5-7-8-9-10-11-12-15-16-17-20-21-23-24-25-26-28-29-33-35-36-40-41-43-48-50-51-53-56-58-59-60-)(kmnist:6-)
39,87.45,77.82,85.49,86.91,1294.57,8904.48,5877.39,2,18,0,0,10,8,(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-3-4-5-6-7-9-)
40,95.1,46.51,95.88,97.34,746.96,5960.37,2322.75,4,7,1,1,1,4,(emnist:1-)(fmnist:3-)(kmnist:0-4-7-8-)(mnist:2-)
41,77.05,12.36,80.77,81.94,2326.56,131160.04,24576.62,4,68,9,52,3,4,(emnist:0-1-3-4-5-6-9-10-11-12-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-42-43-44-45-46-47-48-49-50-53-54-55-56-57-58-59-60-61-)(fmnist:1-5-8-)(kmnist:1-4-5-6-)(mnist:0-1-2-3-4-5-6-8-9-)
42,91.4,28.79,91.71,91.91,1586.12,55532.09,13487.38,4,35,4,17,5,9,(emnist:3-8-10-12-18-21-23-24-25-29-30-38-43-48-49-52-60-)(fmnist:2-5-6-7-9-)(kmnist:1-2-3-4-5-6-7-8-9-)(mnist:1-3-6-9-)
43,92.2,35.01,91.04,93.58,1104.9,17092.11,7721.95,3,20,0,11,2,7,(emnist:0-13-19-26-35-39-44-46-48-56-58-)(fmnist:3-6-)(kmnist:0-1-4-5-6-8-9-)
44,78.81,7.48,81.95,82.15,2016.55,99624.59,36826.61,3,59,2,51,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-15-16-18-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-46-47-48-49-50-51-54-55-56-57-58-59-61-)(kmnist:1-2-4-5-8-9-)(mnist:4-7-)
45,87.13,21.12,89.17,91.26,1394.79,36486.48,21638.1,4,34,3,22,4,5,(emnist:2-5-13-14-17-20-22-24-27-28-30-31-33-37-38-42-43-47-53-54-56-58-)(fmnist:2-3-6-7-)(kmnist:2-3-4-8-9-)(mnist:3-7-8-)
46,91.2,25.37,92.86,93.47,1182.34,24747.11,11232.47,2,21,0,12,9,0,(emnist:4-5-7-19-20-38-42-46-49-51-52-60-)(fmnist:0-1-2-3-5-6-7-8-9-)
47,87.36,30.98,91.14,91.75,1583.03,30270.73,22134.56,2,34,3,31,0,0,(emnist:2-3-4-5-7-9-15-16-20-22-24-25-27-28-31-32-33-37-39-40-42-43-46-49-54-55-56-57-59-60-61-)(mnist:5-6-9-)
48,95.84,86.26,95.37,97.38,709.93,5910.59,3742.52,3,10,4,0,2,4,(fmnist:0-9-)(kmnist:0-3-4-5-)(mnist:1-2-5-7-)
49,85.68,29.0,85.8,87.3,1262.93,12559.45,7398.84,3,23,0,14,2,7,(emnist:11-12-16-18-21-29-36-37-44-47-50-51-54-55-)(fmnist:3-6-)(kmnist:0-1-2-3-4-6-9-)
50,78.19,10.81,82.49,83.68,2050.56,89785.1,17578.12,3,56,3,47,0,6,(emnist:0-1-2-3-5-8-9-10-11-12-14-15-16-17-18-20-21-22-23-25-26-27-29-31-32-34-35-37-38-39-41-42-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(kmnist:0-1-2-3-8-9-)(mnist:0-4-7-)
51,88.33,10.92,90.31,90.46,1709.7,59503.04,39293.03,2,45,0,36,0,9,(emnist:0-2-3-6-7-8-9-10-11-12-16-17-20-23-25-28-29-31-32-34-37-39-40-41-42-44-45-48-49-54-55-56-57-59-60-61-)(kmnist:0-1-3-4-5-6-7-8-9-)
52,85.94,76.73,86.26,88.05,1102.34,13268.72,4839.04,3,17,1,0,9,7,(fmnist:0-1-2-3-4-5-6-7-9-)(kmnist:0-1-3-4-5-7-8-)(mnist:5-)
53,79.52,6.39,80.6,81.11,2174.34,69514.39,25136.3,3,69,6,62,0,1,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:3-)(mnist:0-2-4-6-8-9-)
54,85.24,25.45,86.56,87.33,1581.95,32633.35,18833.12,2,31,0,29,2,0,(emnist:0-3-4-5-8-10-12-13-18-21-22-24-26-28-29-31-34-35-37-40-41-48-49-52-53-57-58-60-61-)(fmnist:0-7-)
55,93.05,87.89,92.71,93.55,876.82,2753.02,2943.83,2,10,0,0,5,5,(fmnist:0-3-5-7-9-)(kmnist:3-4-5-8-9-)
56,99.01,88.6,98.37,98.73,635.52,3760.13,1104.62,2,7,4,0,3,0,(fmnist:3-7-8-)(mnist:1-2-3-9-)
57,95.42,86.0,91.77,95.17,755.57,6772.75,3983.85,2,15,10,0,0,5,(kmnist:4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
58,87.08,39.61,90.34,90.87,1204.98,19272.74,6595.49,3,22,4,9,9,0,(emnist:1-18-20-29-31-33-40-58-59-)(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:3-4-5-6-)
59,82.14,11.06,84.29,84.67,1966.24,101740.93,37019.07,4,67,7,52,5,3,(emnist:0-1-2-3-4-5-7-8-9-10-12-13-15-16-17-18-19-20-21-23-25-26-27-28-29-32-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-58-60-61-)(fmnist:3-4-5-6-7-)(kmnist:0-1-7-)(mnist:1-3-4-5-6-7-9-)
60,98.09,97.56,97.94,98.3,790.75,4681.64,2941.69,2,10,9,0,1,0,(fmnist:1-)(mnist:0-1-2-3-4-5-6-7-8-)
61,96.27,31.85,96.05,97.15,915.7,23442.77,5823.03,4,15,3,5,5,2,(emnist:7-8-12-19-53-)(fmnist:2-4-5-7-9-)(kmnist:2-4-)(mnist:0-5-9-)
62,92.62,54.29,92.37,93.16,858.03,4161.64,2126.59,2,10,0,5,0,5,(emnist:16-26-39-51-57-)(kmnist:0-1-4-8-9-)
63,96.03,83.88,94.8,96.26,847.62,8388.28,4525.41,2,16,10,0,6,0,(fmnist:1-4-5-6-7-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
64,80.47,11.09,84.31,85.38,1956.64,64606.87,19635.91,4,57,9,46,1,1,(emnist:0-1-2-3-4-5-7-8-11-12-13-15-16-17-18-19-20-23-25-27-28-29-30-33-34-35-37-39-40-41-42-43-44-45-47-48-49-50-51-54-56-57-58-59-60-61-)(fmnist:0-)(kmnist:0-)(mnist:0-1-2-3-5-6-7-8-9-)
65,98.64,94.99,98.04,98.9,570.73,1668.54,1285.96,2,5,3,0,2,0,(fmnist:2-8-)(mnist:2-4-8-)
66,96.08,35.49,97.16,97.94,780.11,8431.58,3779.39,3,9,2,2,5,0,(emnist:0-8-)(fmnist:2-5-6-8-9-)(mnist:3-4-)
67,87.2,15.86,89.66,90.73,1702.51,60514.22,21099.84,3,42,5,29,0,8,(emnist:0-1-2-3-4-6-10-15-16-17-19-21-22-31-36-37-38-39-41-44-48-50-51-52-53-55-58-59-60-)(kmnist:0-1-2-3-4-5-7-9-)(mnist:0-5-7-8-9-)
68,77.15,14.09,80.43,79.5,2712.47,254554.7,35345.25,4,90,8,62,10,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-9-)
69,95.73,25.37,96.98,98.08,909.31,7344.77,5771.89,2,11,4,7,0,0,(emnist:4-7-10-15-21-30-34-)(mnist:0-1-5-8-)
70,83.4,11.8,85.28,85.67,2217.97,132257.99,37505.96,4,63,2,47,9,5,(emnist:0-1-3-4-5-6-7-8-9-10-11-13-14-15-16-19-20-21-22-24-26-27-29-30-31-32-34-35-36-38-39-40-41-42-43-45-48-49-50-51-52-55-56-57-58-60-61-)(fmnist:0-1-2-4-5-6-7-8-9-)(kmnist:2-4-6-8-9-)(mnist:1-2-)
71,78.65,13.08,80.4,79.97,2796.19,122903.37,24151.96,4,86,8,61,7,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:2-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:1-2-3-4-5-6-8-9-)
72,95.21,39.56,94.33,95.94,1353.56,35338.59,16308.36,4,27,7,8,8,4,(emnist:3-8-12-28-30-34-43-58-)(fmnist:1-2-3-4-5-7-8-9-)(kmnist:0-5-6-9-)(mnist:0-1-3-4-7-8-9-)
73,95.99,66.94,95.53,96.97,915.91,6188.24,2893.17,4,11,1,3,4,3,(emnist:25-27-44-)(fmnist:5-6-7-8-)(kmnist:0-5-8-)(mnist:3-)
74,96.67,31.02,97.36,98.22,702.15,3035.0,2355.53,2,5,0,2,0,3,(emnist:7-54-)(kmnist:5-7-9-)
75,98.47,48.0,99.01,99.35,825.42,5068.25,5966.72,3,9,2,6,1,0,(emnist:1-3-16-22-34-57-)(fmnist:8-)(mnist:1-3-)
76,77.48,12.12,82.24,82.56,1855.17,49067.31,18549.72,2,52,0,46,6,0,(emnist:1-2-4-5-7-10-14-15-17-18-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-50-51-52-53-57-58-59-60-61-)(fmnist:0-2-4-6-7-9-)
77,89.48,75.94,86.88,88.05,1123.2,18862.66,6363.4,3,26,8,0,9,9,(fmnist:0-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:1-3-4-5-6-7-8-9-)
78,77.72,10.17,82.09,82.13,1745.95,54633.4,25045.77,2,41,0,34,0,7,(emnist:0-1-3-5-7-8-9-10-11-13-18-22-23-24-25-27-28-29-30-32-33-34-36-38-41-43-47-50-51-54-55-56-57-60-)(kmnist:1-2-4-6-7-8-9-)
79,79.97,10.67,86.67,87.12,1498.66,40873.18,32163.24,3,45,0,36,5,4,(emnist:0-1-2-3-5-7-8-9-10-12-14-15-18-19-20-23-25-26-27-28-30-31-32-34-36-38-43-45-47-48-49-50-54-55-59-60-)(fmnist:3-4-6-7-8-)(kmnist:1-3-4-8-)
80,88.29,14.53,89.91,90.34,1789.29,65426.93,26597.52,3,48,7,35,6,0,(emnist:1-2-3-4-6-9-12-16-19-22-23-24-26-27-30-31-32-34-35-37-38-39-40-42-44-46-48-49-51-52-53-55-57-59-61-)(fmnist:2-3-4-6-7-9-)(mnist:1-3-4-6-7-8-9-)
81,78.81,12.55,81.86,81.89,2392.08,102951.16,30812.06,3,74,10,55,0,9,(kmnist:0-1-2-3-4-5-6-7-9-)(emnist:0-1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-38-39-40-41-42-43-44-46-47-48-49-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)
82,94.18,36.32,92.5,93.93,1466.67,48541.81,21949.07,4,28,8,8,3,9,(fmnist:4-6-9-)(kmnist:0-1-3-4-5-6-7-8-9-)(mnist:0-2-3-4-5-7-8-9-)(emnist:6-8-12-15-40-43-55-58-)
83,79.73,12.24,80.66,80.16,2708.04,124581.2,20174.5,4,82,7,62,5,8,(mnist:0-1-2-3-6-7-9-)(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:2-3-4-5-6-7-8-9-)(fmnist:0-1-3-6-8-)
84,78.82,14.27,80.82,79.97,2480.82,144066.1,29542.78,4,82,5,57,10,10,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-5-6-9-)(emnist:0-1-3-4-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)
85,92.74,91.51,92.56,93.14,709.79,2130.7,2083.25,2,8,2,0,0,6,(mnist:0-1-)(kmnist:0-1-2-7-8-9-)
86,78.06,11.7,81.55,81.52,2473.14,84873.33,38626.74,3,80,10,62,8,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-6-7-8-9-)(fmnist:0-1-2-3-4-5-8-9-)
87,77.96,9.86,80.43,80.79,2332.42,78831.32,37331.23,3,76,9,61,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(mnist:0-1-2-3-4-5-7-8-9-)(kmnist:1-2-4-6-7-9-)
88,93.51,86.86,91.83,92.62,947.36,11434.69,3521.92,2,14,6,0,0,8,(kmnist:0-1-3-4-5-6-7-8-)(mnist:0-1-2-4-7-9-)
89,91.43,60.28,86.34,92.95,878.11,7725.01,4209.11,4,14,5,1,7,1,(fmnist:0-1-2-4-6-7-9-)(kmnist:7-)(emnist:24-)(mnist:0-2-3-5-6-)
90,96.87,94.33,96.3,98.23,627.82,474.4,828.92,2,3,0,0,1,2,(kmnist:5-9-)(fmnist:0-)
91,92.38,85.99,90.13,92.91,869.37,9636.95,5472.0,2,14,5,0,0,9,(mnist:0-1-3-6-8-)(kmnist:0-1-3-4-5-6-7-8-9-)
92,76.98,11.24,81.57,80.04,2499.79,131934.72,26987.64,3,79,0,60,9,10,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-59-60-61-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(fmnist:0-1-3-4-5-6-7-8-9-)
93,78.92,14.65,81.55,82.34,2285.38,83025.35,19386.54,3,59,6,43,0,10,(kmnist:0-1-2-3-4-5-6-7-8-9-)(emnist:0-1-2-3-5-6-9-11-13-14-15-17-19-20-21-22-23-24-25-28-29-31-33-34-35-36-38-39-40-43-45-46-47-48-50-51-52-56-57-58-59-60-61-)(mnist:0-1-3-6-8-9-)
94,83.82,21.35,89.09,90.41,1775.01,41671.34,8064.46,3,35,0,24,10,1,(kmnist:9-)(emnist:8-9-10-11-13-17-19-20-23-24-25-26-27-33-39-40-41-46-51-52-57-58-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)
95,91.68,72.77,89.42,91.23,1078.8,20374.52,6899.07,3,21,7,4,0,10,(kmnist:0-1-2-3-4-5-6-7-8-9-)(emnist:11-41-51-59-)(mnist:0-2-3-4-5-8-9-)
96,92.01,54.37,90.47,92.54,1060.28,35313.69,16557.65,4,25,6,3,8,8,(mnist:1-2-4-6-7-9-)(fmnist:1-2-3-4-5-6-8-9-)(kmnist:0-1-2-3-4-6-8-9-)(emnist:4-39-55-)
97,85.33,33.3,88.4,89.37,1522.02,42887.37,22328.82,2,43,2,41,0,0,(emnist:1-4-6-7-8-9-10-11-12-14-16-17-18-19-20-21-22-23-27-28-29-32-33-35-36-38-39-41-43-45-48-49-50-51-52-53-54-55-56-58-61-)(mnist:0-3-)
98,92.09,22.62,91.52,94.89,1199.03,29000.94,19408.82,3,28,7,17,0,4,(kmnist:2-3-5-7-)(mnist:0-1-3-4-7-8-9-)(emnist:2-4-12-17-18-19-22-24-30-40-41-49-50-53-57-58-60-)
