Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Setup Time,Update Time,Inference Time
11,0.8229681376725166,0.7300711979932414,0.7475882097883718,0.7291939734235982,0.872332409168596,3.030703659980528,43.77077197259472,0.00013399751186934334
12,0.878588647819417,0.8094652925781717,0.8354039770162572,0.8154447886573852,0.9166269744158416,3.0233004668663286,33.9119311118948,0.00015664254875742077
13,0.9041450777202072,0.8540397191568807,0.8806359547125195,0.8621237237224373,0.9389713699962912,3.036797845685804,29.345066289643984,0.00016931952994508851
14,0.9753086419753086,0.9605555679178073,0.966241610738255,0.9631073604819305,0.9814485645664519,3.5063533186912537,8.423295348882675,0.00032887543425147913
15,0.956115107913669,0.9411953642957551,0.9427926798357797,0.9411483149137665,0.9702426794216711,3.4313188791275024,14.456619024276733,0.00021606759201708457
16,0.9621301775147929,0.9625226059548829,0.9624500338308039,0.9618884774052899,0.9800412282585124,3.449566167943618,8.116892365848317,0.00023204713510047918
17,0.9299548095545513,0.8360206582783813,0.8419940150443299,0.8296849817594139,0.9199701246702793,3.551930979319981,27.059908035823277,0.00017802267840655542
18,0.918429003021148,0.8542171295097892,0.8573095155765145,0.8459247068496063,0.9275640993928709,3.570180660639054,30.296306579540936,0.00017932272869774704
19,0.979757085020243,0.977972027972028,0.9864423552696685,0.9816220005070615,0.9907786064034431,3.4942798614501953,3.8119561672210693,0.0003832351823567379
20,0.8728682170542635,0.8185740660250286,0.8412335219207279,0.827413542150435,0.919245686239365,3.2956677973270416,33.66300310194492,0.000154682287976826
21,0.8150996703814158,0.7311924987781945,0.7506451494826831,0.731614421723186,0.8741132049554367,3.0065646996864905,46.08350983032813,0.00013386400120674462
22,0.9807073954983923,0.9670888279432436,0.9749377069318627,0.9707865555875811,0.9865982780445489,3.0343345006306968,10.299959361553192,0.00020108769390573668
23,0.8369925434962717,0.7390313932443521,0.7461351059065195,0.7351564729184668,0.8715209850095375,3.0424467766726457,37.91449097350792,0.00013059096190192626
24,1.0,1.0,1.0,1.0,1.0,3.068946679433187,3.261696179707845,0.0003536659897419444
