Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Inference Time
117,0.8047945205,0.8457203472,0.8573953488,0.8141064217,0.905091427,0.0006210443092
118,0.9003436426,0.912559414,0.89,0.8853007196,0.934986626,0.0003684035418
119,0.6280557459,0.7465902829,0.4669787202,0.5024127927,0.7293811574,0.0001384266403
120,0.2380296772,0.417418423,0.2433680336,0.1908319038,0.6166973856,0.0001384609524
121,0.1251946434,0.3824274581,0.1953022633,0.1286339648,0.5917736645,0.0001517672827
122,0.3901485536,0.7239235651,0.3927820919,0.3499264157,0.6893583838,0.0001550890191
123,0.1479059905,0.3413228851,0.1729850344,0.1086736216,0.5801712861,0.0001271938653
124,0.6452779033,0.8095597946,0.5412298407,0.5464383089,0.7641216524,0.0001529555764
125,0.965,0.9650860344,0.965,0.9649464946,0.9766666667,0.0004250961542
126,0.3427083333,0.4997158471,0.3698875917,0.3033394734,0.6759025475,0.0001498602196
127,0.470865467,0.6044870089,0.480434416,0.3736593684,0.7322645275,0.0001427506726
128,0.8197879859,0.8768910738,0.8199759904,0.8212204103,0.9043559551,0.0002172844314
129,0.9387387387,0.9396422528,0.9389998727,0.9384965313,0.9664394496,0.0002116491519
130,1,1,1,1,1,0.0004527583284
131,0.4112347642,0.7259174305,0.353973207,0.3996802101,0.6723334566,0.0001309067399
132,0.7656903766,0.7027968908,0.7318169935,0.6814940811,0.8597251335,0.0001929321174
133,0.2751556017,0.5234135651,0.3957584599,0.2669961513,0.6889235374,0.0001470486339
134,0.4722222222,0.8022810048,0.4219487718,0.4763473263,0.7033093765,0.0001632934403
135,0.9764705882,0.9772315238,0.9759195653,0.9762754535,0.9868892912,0.0002301264878
136,0.3084401237,0.6698971317,0.337024342,0.3100734104,0.6613757595,0.0001372166683
137,0.1866230122,0.362560975,0.2662289284,0.1450097951,0.6274997041,0.0001362196569
138,0.320047356,0.3619957353,0.442594821,0.325559135,0.7113887063,0.0001354494443
139,0.1352112676,0.5519503114,0.1564140052,0.1506931017,0.571600311,0.0001364087577
140,0.6157676349,0.7242318925,0.630674768,0.4960528402,0.7971162112,0.0002019488465
141,0.662464986,0.7517239732,0.6284228935,0.5834340616,0.7990974966,0.000237763095
142,0.2347840314,0.5002799889,0.2151649116,0.1553656899,0.6021485412,0.0001348085648
143,0.2310698583,0.4381626389,0.3213614153,0.1961884549,0.6533381655,0.0001430538439
144,0.8917910448,0.9077469403,0.8817788272,0.8670258761,0.9354659377,0.0002709904956
145,0.8487179487,0.7525991568,0.8250490196,0.7841080217,0.901669161,0.0002689253825
146,0.6940789474,0.8413350371,0.635603278,0.6236910915,0.7867742121,0.0003125474118
147,0.2096401453,0.5228447662,0.1999561299,0.1450423672,0.593847568,0.0001316453327
148,0.3164002063,0.4853724035,0.4097882794,0.2777339941,0.6971995959,0.0001557319842
149,0.4264952487,0.6495410165,0.3609711701,0.3285396372,0.6732113889,0.0001579004286
150,0.5228494624,0.8177043545,0.450393458,0.4908415458,0.717288195,0.0001484147075
151,0.3576063446,0.4201045472,0.479823578,0.3416027654,0.7317347959,0.0001461043191
152,0.2249570693,0.4006198492,0.3208860097,0.1916186528,0.6541325383,0.0001197586475
153,0.9375,0.9398148148,0.9527027027,0.9415379397,0.9662938801,0.0003751974021
154,0.1741649625,0.397999165,0.2600978673,0.1682870392,0.6242652583,0.0001292519437
155,0.8260869565,0.7876317372,0.7630764355,0.739511783,0.874804211,0.0002198465757
156,0.4555628703,0.7800583989,0.343158541,0.3516976378,0.6581741498,0.0001782830141
157,0.5329087049,0.6569366252,0.7249696125,0.6341381031,0.8448742139,0.0001829939247
158,0.2016340823,0.2947650388,0.2756553316,0.1651273731,0.6332583223,0.000133519498
159,0.9325236167,0.9391243486,0.9324326466,0.9332364556,0.9638044951,0.0002366261605
160,0.9624161074,0.9638050806,0.9625772252,0.9624169222,0.9799453976,0.0002873933182
161,0.8149134487,0.7507549968,0.7714294933,0.7349100223,0.8795160116,0.0002267618035
162,0.1757767071,0.4250672883,0.2476958612,0.1704749947,0.6179950381,0.0001430969852
163,0.8718181818,0.8820704329,0.8713572371,0.8664916116,0.9326265017,0.0001964119742
164,0.9722222222,0.9763257576,0.971893474,0.9727662402,0.9839628218,0.0002888170908
165,0.979966611,0.9804529238,0.9797032828,0.9797826223,0.9889406156,0.0002451918824
166,0.2038722728,0.2670828498,0.2920155412,0.1754460656,0.6412906789,0.0001320888433
167,0.9368421053,0.9454545455,0.9275,0.930952381,0.9530357143,0.0003991127014
168,0.4184100418,0.7452449516,0.3707963979,0.3933017679,0.6771774248,0.0001427978116
169,0.4899923993,0.7086874116,0.425030735,0.4162986395,0.7063363156,0.0001547524596
170,0.507751938,0.5381869617,0.5617140406,0.4293819934,0.7680573797,0.0001837564162
171,0.1666945607,0.3579597014,0.2123101926,0.1261233731,0.6001529985,0.0001393954869
172,0.9610738255,0.9630105874,0.9606700927,0.9609427418,0.9789447763,0.0002417163721
173,0.9933333333,0.9934640523,0.9933333333,0.9933326666,0.995,0.0005808724297
174,0.2029654036,0.5247448088,0.1982678293,0.1895601673,0.5933933347,0.0001493445568
175,0.5390946502,0.7442130223,0.540733021,0.4995026285,0.7446784371,0.0002659868311
176,0.9030544489,0.9100263527,0.9026529165,0.9032370036,0.9478641501,0.0002383834971
177,0.9188405797,0.9327172363,0.919502782,0.9206970603,0.9566262023,0.0002323204439
178,0.3267902581,0.5988762856,0.3723127558,0.3239895662,0.6750954758,0.0001813447592
179,0.6340482574,0.7370536035,0.7609542437,0.634510012,0.8586899567,0.0002987291403
180,0.9263959391,0.9305833185,0.9267955027,0.9267576202,0.9609434408,0.0002490997239
181,0.9226044226,0.8725879487,0.8915925732,0.879479628,0.9433735312,0.0002529195906
182,0.289585631,0.6095650754,0.2670160473,0.2252907184,0.6286018132,0.0001430848259
183,0.4502564103,0.7478471132,0.4535609812,0.4382996542,0.7163307598,0.0001732589535
184,0.5367121507,0.5885215036,0.6013619313,0.4968634783,0.7892823027,0.000226135467
185,0.9421487603,0.9575757576,0.9455072464,0.9486622752,0.956771888,0.0007600797438
186,0.9,0.9365671642,0.8210869565,0.8278166278,0.8928351449,0.000560381132
187,0.1969978335,0.2590890509,0.2863935258,0.1771589499,0.6384365308,0.0001408843919
188,0.2702824859,0.6216656009,0.2707964676,0.2341533647,0.6273611885,0.000145671722
189,0.3275054636,0.6964349191,0.3558879006,0.3037085143,0.6675466079,0.0001820271006
190,0.6183800623,0.7028242383,0.7505255894,0.6279216457,0.8545702271,0.0003438171568
191,0.3382084095,0.5478342987,0.5424862877,0.4342666782,0.7582192032,0.0001590809286
192,0.5473051122,0.7780678891,0.45765076,0.5106199211,0.724046635,0.0001381613192
193,0.2493087558,0.4891117408,0.2735744941,0.2091565009,0.6303509335,0.0001443448853
194,0.1769121813,0.247868065,0.2647314874,0.1497940475,0.6276016879,0.0001516270294
195,0.2373134328,0.3021688579,0.3498204354,0.2385329219,0.6663078216,0.0001757200377
196,0.8920863309,0.9027007078,0.8918613309,0.892201539,0.9436824128,0.0001975717247
197,0.2570356473,0.4203670335,0.4026260378,0.2693248016,0.6936418751,0.0001507057673
198,0.6459566075,0.8859673006,0.6254507596,0.6485423493,0.8010809949,0.0001989965726
199,0.9672544081,0.9684542017,0.9673404255,0.9675026176,0.9813287142,0.0002792571444
