Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Inference Time
0,0.1675768451,0.4136536275,0.2235991051,0.1220126717,0.6061311965,0.000136489533
1,0.413414172,0.6992666656,0.3636151016,0.3805793273,0.6766024909,0.0001199717026
2,0.2206135815,0.2387884514,0.2965897173,0.1716039403,0.6432555959,0.0001278918391
3,0.2068647777,0.388461764,0.2783082692,0.1476841081,0.6311304704,0.0001435619267
4,0.3821862348,0.658169868,0.397195203,0.2895222396,0.6835607298,0.0001375937016
5,0.2067584881,0.3679037379,0.2346767349,0.1382021234,0.6120775068,0.0001437161189
6,0.2238617959,0.6074169011,0.2327215411,0.1845233126,0.6104200064,0.0001295352611
7,0.4249868398,0.6911322912,0.3414743198,0.3707321765,0.6662706114,0.0001292816837
8,0.6213872832,0.7016344401,0.5428549558,0.4966544095,0.7486641827,0.0002346093178
9,0.2336182336,0.3730693635,0.3140509835,0.206040161,0.6507821158,0.0001309065315
10,0.2845215157,0.396481304,0.3637934232,0.2223671549,0.6732404109,0.0001654187835
11,0.6261714091,0.7316867615,0.4938685588,0.5227884549,0.7438724506,0.0001241026645
12,0.2463291694,0.3106497376,0.3415282253,0.1896705598,0.6641952812,0.0001332507226
13,0.3868739206,0.6960299807,0.36133289,0.3434233673,0.6722483019,0.0001533460583
14,0.5478395062,0.7563564511,0.839647651,0.7033175482,0.8892009158,0.0003006794478
15,0.4287769784,0.5963379807,0.503761702,0.3795470388,0.7370674182,0.0001885059583
16,0.9230769231,0.9323893249,0.9232488025,0.9238503048,0.9592192321,0.0002094873434
17,0.2395093609,0.3718411715,0.3323387227,0.1873066471,0.6551300715,0.0001608156294
18,0.3039274924,0.5232067513,0.3000004211,0.2193096676,0.6409389591,0.0001631046932
19,0.6396761134,0.6593137255,0.5823255814,0.5505979735,0.7457954438,0.0003896284683
20,0.3356589147,0.6237747273,0.3466418069,0.2810447387,0.6663070157,0.00015674883
21,0.1987129179,0.2794034681,0.251800545,0.1246108547,0.6207235088,0.0001327706513
22,0.6366559486,0.8658809299,0.6340060469,0.6332320216,0.8009959387,0.0001874416374
