Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
0,95.51,85.93,94.23,95.32,606.68,1532.15,1890.83,3,7,2,0,1,4,(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-)
1,82.43,12.43,83.12,82.23,3520.97,136227.67,9517.5,2,70,0,61,9,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-)
2,92.7,71.43,92.45,92.53,1324.25,9176.38,4467.54,2,20,10,0,10,0,(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-)
3,89.03,13.93,87.39,88.64,2680.64,63032.22,9946.53,4,54,4,38,2,10,(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-)
4,94.09,38.54,90.55,93.3,1320.08,26502.43,4025.32,4,28,9,4,9,6,(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-)
5,97.48,52.2,95.11,97.51,1046.52,5183.07,2036.43,4,12,1,4,4,3,(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-)
6,83.05,7.4,83.57,83.26,2867.21,152212.75,8971.39,4,72,6,60,3,3,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-)
7,85.59,13.53,86.43,86.2,3165.57,58919.59,7330.86,3,56,1,53,2,0,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-)
8,82.75,11.09,82.95,82.83,3623.06,113469.47,10601.49,4,77,6,59,6,6,(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-)
9,86.76,14.0,85.64,85.83,3058.76,104811.63,13585.48,4,67,5,44,8,10,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-)
10,92.22,80.65,90.28,92.09,1259.25,3598.46,1910.69,3,12,2,0,7,3,(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-)
11,82.23,16.45,82.68,82.38,3369.0,97311.85,7287.23,2,61,2,59,0,0,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-54-55-56-57-58-59-60-61-)(mnist:0-2-)
12,97.88,38.08,96.91,97.45,916.23,3958.83,1655.44,3,13,2,8,3,0,(emnist:19-22-31-37-39-41-52-58-)(fmnist:3-4-5-)(mnist:3-6-)
13,86.28,9.79,84.31,85.16,3334.29,66400.35,9189.24,3,73,9,56,0,8,(emnist:1-2-3-4-5-6-7-8-9-10-11-12-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-53-54-55-56-57-58-59-60-61-)(kmnist:1-2-4-5-6-7-8-9-)(mnist:0-2-3-4-5-6-7-8-9-)
14,87.89,20.66,87.2,87.63,2735.33,61374.34,6393.33,3,56,0,44,6,6,(emnist:1-2-3-4-5-6-8-9-10-11-14-16-18-19-20-21-22-23-24-25-26-28-29-31-32-34-35-36-37-38-39-40-41-42-43-46-50-52-54-55-57-58-60-61-)(fmnist:0-2-3-4-6-9-)(kmnist:1-2-3-4-5-8-)
15,92.34,18.82,93.02,93.45,1683.78,19703.81,6083.71,3,32,4,22,6,0,(emnist:1-2-5-9-11-12-13-14-20-23-26-28-30-33-35-38-40-41-43-46-52-58-)(fmnist:0-1-3-4-5-9-)(mnist:1-5-6-9-)
16,83.24,11.62,83.63,83.16,3159.53,52502.22,10662.27,2,64,0,54,10,0,(emnist:0-1-2-4-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-32-33-35-37-38-39-40-41-42-44-45-46-47-48-49-50-51-52-53-55-56-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)
17,93.75,43.42,90.59,92.82,1252.84,17468.04,4807.14,4,27,7,5,6,9,(emnist:9-13-23-40-59-)(fmnist:1-2-3-4-6-9-)(kmnist:0-1-2-4-5-6-7-8-9-)(mnist:0-3-4-6-7-8-9-)
18,82.84,12.69,81.9,81.67,3785.06,121198.61,14870.43,3,81,0,62,10,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-8-9-)
19,86.71,7.84,87.43,87.41,2770.35,104716.82,6655.15,3,60,6,52,2,0,(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-)
20,83.65,11.49,84.68,84.7,2695.76,58139.56,5006.63,3,49,2,43,4,0,(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-)
21,89.32,33.99,89.96,90.36,1546.31,23036.07,4218.78,2,31,2,29,0,0,(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-)
22,99.17,85.74,99.47,99.5,582.58,885.75,329.96,4,4,1,1,1,1,(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-)
