#Dataset,Scratch,Static,SC,MU,MS
2,94.10571428571427,50.309999999999995,88.27714285714285,92.05000000000003,94.54714285714284
3,89.88181818181819,36.052727272727275,79.9909090909091,86.37454545454544,90.33545454545454
4,92.74571428571429,36.574285714285715,75.85285714285715,90.82428571428571,93.08857142857143
