Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
19,87.21,7.63,85.5,86.42,4260.97,76814.68,12975.45,3,60,6,52,2,0,(emnist:1-2-3-4-7-8-9-11-12-13-14-15-16-17-18-19-20-22-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-46-48-49-50-51-52-53-54-55-56-57-58-59-)(fmnist:0-2-)(mnist:0-2-4-5-8-9-)
20,83.76,6.24,82.95,83.46,3863.04,70714.09,13540.63,3,49,2,43,4,0,(emnist:0-1-2-3-6-7-8-9-11-12-14-17-18-22-23-24-26-27-28-30-31-32-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-52-54-57-60-61-)(fmnist:4-5-6-7-)(mnist:8-9-)
21,88.17,27.56,88.38,89.73,2433.72,26157.64,6908.49,2,31,2,29,0,0,(emnist:2-5-6-9-11-14-15-18-20-23-24-28-32-33-34-35-37-39-42-43-44-45-46-50-54-55-56-58-59-)(mnist:5-9-)
22,98.11,80.72,96.49,99.62,362.89,1139.83,454.41,4,4,1,1,1,1,(emnist:26-)(fmnist:2-)(kmnist:9-)(mnist:8-)
23,92.63,42.13,91.61,92.85,1174.75,22015.27,3550.89,4,19,4,4,7,4,(emnist:2-7-36-61-)(fmnist:0-1-2-4-5-6-9-)(kmnist:0-4-7-8-)(mnist:1-2-3-9-)
24,94.51,82.81,92.84,93.85,1221.46,6238.15,3390.97,2,15,6,0,9,0,(fmnist:0-1-2-3-4-5-7-8-9-)(mnist:2-3-4-5-7-8-)
25,91.09,83.66,90.54,90.8,973.63,7002.16,2689.16,2,14,6,0,8,0,(fmnist:0-1-2-3-4-6-7-8-)(mnist:1-2-4-5-6-7-)
26,93.99,58.23,93.05,94.4,1023.71,9804.79,2515.29,3,13,3,3,7,0,(emnist:15-36-43-)(fmnist:0-1-2-3-6-7-8-)(mnist:0-2-4-)
27,98.43,55.29,97.84,98.79,379.29,2229.28,547.35,2,5,0,3,0,2,(emnist:14-41-47-)(kmnist:0-1-)
28,88.8,15.43,85.94,85.84,4406.46,85762.58,23726.99,4,63,3,40,10,10,(emnist:0-2-3-4-6-7-8-9-10-11-12-13-14-15-16-17-19-21-22-24-26-27-28-29-30-31-33-34-37-39-42-45-47-49-50-51-52-53-55-61-)(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-2-9-)
29,84.95,13.12,88.62,89.36,3434.32,63864.6,9007.56,3,47,9,36,2,0,(emnist:0-1-3-6-7-8-9-10-14-15-16-20-21-22-27-28-30-32-33-34-35-37-38-41-42-43-45-47-48-49-51-52-53-54-57-58-)(fmnist:1-7-)(mnist:0-1-2-3-4-5-6-7-9-)
30,98.56,46.17,96.43,99.43,464.31,1328.39,698.53,2,4,1,3,0,0,(emnist:29-30-58-)(mnist:2-)
31,83.35,14.21,80.61,80.01,5607.87,238256.63,24901.64,4,87,10,61,7,9,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-2-3-4-6-8-9-)(kmnist:0-1-2-3-4-5-6-7-8-)(mnist:0-1-2-3-4-5-6-7-8-9-)
