Combination ID,Model Accuracy,Training Time,Eval Time
0,0.7587837838,474.7844245,7.24E-05
1,0.7580701754,486.6822979,5.56E-05
2,0.7855128205,393.8359578,5.10E-05
3,0.831,545.5537312,5.72E-05
4,0.8852380952,314.3851461,8.46E-05
5,0.7475,1203.687802,5.30E-05
6,0.7643939394,953.2917452,7.64E-05
7,0.7216923077,518.8500268,5.32E-05
8,0.8977777778,30.42523432,0.0001327202055
9,0.8006451613,870.8731682,6.30E-05
10,0.8628571429,229.0242867,6.20E-05
11,0.7561290323,393.6756475,4.98E-05
12,0.8436206897,527.952292,5.60E-05
13,0.8783783784,317.6957159,7.21E-05
14,0.9575,39.7064209,0.0001437687874
15,0.9465,101.1727452,8.23E-05
16,0.9688235294,61.60878038,8.65E-05
17,0.8485714286,299.192502,6.53E-05
18,0.8464102564,259.4746718,6.13E-05
19,0.992,15.84617782,0.0002374596596
20,0.825,234.629478,5.70E-05
21,0.7565384615,506.2692144,4.79E-05
22,0.9791666667,62.67674589,0.0001134274403
23,0.7292592593,380.1148627,6.49E-05
24,0.9966666667,19.29859996,0.0003204536438
25,0.7635294118,483.5916438,5.00E-05
26,0.9117241379,238.8829539,7.17E-05
27,0.7704225352,550.867125,5.18E-05
28,0.805,371.1591702,5.12E-05
29,0.986,16.98065948,0.0002015018463
30,0.992,25.15264821,0.0001271631718
31,0.986,14.10607266,0.0002095990181
32,0.82,84.08855796,7.20E-05
33,0.8084615385,282.1288543,6.35E-05
34,0.8623809524,241.9713547,5.92E-05
35,0.7908695652,741.4577708,7.14E-05
36,0.7678125,802.5371554,5.87E-05
37,0.95,35.91179585,0.0001103443366
38,0.9183333333,225.8031728,6.51E-05
39,0.838,483.1274838,5.58E-05
40,0.8775,162.3826463,6.17E-05
41,0.7307017544,418.4193962,5.20E-05
42,0.9811111111,61.56552219,0.0001368559731
43,0.8661538462,198.4128737,5.87E-05
44,0.9833333333,47.42160392,0.000137484471
45,0.8722033898,368.990957,5.89E-05
46,0.8536842105,231.6038098,6.36E-05
47,0.9466666667,50.28008723,0.0001355224186
48,0.9206666667,223.01705,7.04E-05
49,0.84275,278.308192,5.90E-05
50,0.776835443,642.4465311,5.74E-05
51,0.8323214286,379.4771342,5.49E-05
52,0.965,19.18029523,0.0001948992411
53,0.999,36.51561832,0.0001274032593
54,0.774,431.3988302,4.98E-05
55,0.9830769231,39.99342918,0.0001059847612
56,0.8925,17.94514155,0.0002607655525
57,1,12.64831567,0.000259309411
58,0.975,44.96663141,0.0001244616508
59,0.934,36.73149991,0.000118625164
60,0.9566666667,32.91836143,0.0001095445951
61,0.996,15.00558758,0.0002171983719
62,0.74953125,433.8441455,4.90E-05
63,0.9366666667,62.43926501,9.78E-05
64,0.9615384615,55.58457112,0.0001200175285
65,0.8443902439,292.189533,6.78E-05
66,0.9652631579,74.71175528,8.64E-05
67,0.9461538462,249.9445324,7.49E-05
68,0.9555555556,109.155607,9.31E-05
69,0.902,223.1877723,7.56E-05
70,0.80425,323.1977186,5.63E-05
71,0.9634482759,189.9928222,6.62E-05
72,0.7742045455,519.4692254,5.00E-05
73,0.7663953488,630.5622029,5.75E-05
74,0.93625,62.29881167,8.87E-05
75,0.995,3.416804075,0.0004078102112
76,0.8375,210.654021,5.87E-05
77,0.9052631579,50.80040741,8.04E-05
78,0.98875,27.42479753,0.000140016377
79,0.7768421053,390.770335,5.56E-05
80,0.9379310345,260.0174646,6.92E-05
81,0.7464556962,559.9445505,5.09E-05
82,0.7988,309.5313768,5.76E-05
83,0.8167924528,281.624198,5.79E-05
84,0.8647368421,363.5327106,6.41E-05
85,0.7263157895,303.0963135,5.29E-05
86,0.7553658537,451.0378003,0.0002558234261
87,0.8560869565,90.8759582,7.58E-05
88,0.8234042553,243.837441,5.94E-05
89,0.899,66.68761492,0.0001240026951
90,0.945,80.41597581,0.0001004806587
91,0.8958974359,270.1804938,9.76E-05
92,0.8871428571,363.3504713,5.50E-05
93,0.7855172414,498.5874066,5.48E-05
94,0.7580701754,341.5026789,5.00E-05
95,0.8505405405,223.8229425,6.16E-05
96,0.8664583333,278.3125167,5.53E-05
97,0.7630864198,472.335372,5.03E-05
98,0.7894117647,368.0715604,5.78E-05
99,0.7872857143,440.6444967,6.33E-05
100,0.9025,18.10694432,0.0001322603226
101,0.9609090909,36.38520432,0.0001205730438
102,0.8705660377,349.6733711,5.17E-05
103,0.8886666667,233.5996103,6.87E-05
104,0.7835955056,650.7535934,4.86E-05
105,0.9112,181.2170374,7.76E-05
106,0.747,565.1722281,4.87E-05
107,0.8046031746,392.8165853,5.23E-05
108,0.9311764706,77.8045435,0.0001310227899
109,0.7689873418,520.8745131,4.67E-05
110,0.9566666667,40.89443254,0.0001398057408
111,0.7731168831,429.3544352,5.43E-05
112,0.971,42.30569911,0.0001216719151
113,0.939,202.0547652,5.75E-05
114,0.9835714286,100.3407388,9.29E-05
115,0.941,118.7324674,8.56E-05
116,0.984,16.44590449,0.0002107133865
117,0.988,17.88446808,0.0002111859322
118,0.9833333333,15.643363,0.0002233771483
119,0.7763043478,333.3381567,6.16E-05
120,0.738961039,414.4352205,4.86E-05
121,0.7581333333,320.5505819,5.29E-05
122,0.7943181818,409.8132145,6.30E-05
123,0.7405882353,416.4002566,5.70E-05
124,0.8871428571,144.7779984,7.09E-05
125,0.985,14.21030354,0.0002676796913
126,0.8662162162,274.514914,6.63E-05
127,0.9044117647,275.8132162,6.49E-05
128,0.9258823529,71.32199526,8.54E-05
129,0.9690909091,46.54616308,0.0001162875782
130,1,7.092168808,0.0002430152893
131,0.724375,375.8458464,5.67E-05
132,0.9485,69.15840936,8.06E-05
133,0.8973170732,418.7521598,0.000100001591
134,0.8748571429,319.6980824,6.64E-05
135,0.9833333333,157.1430881,0.0001097240051
136,0.8134693878,489.8376799,6.05E-05
137,0.8057534247,910.5178516,5.14E-05
138,0.9237142857,716.688549,7.95E-05
139,0.746969697,766.433552,5.59E-05
140,0.9709090909,191.7956085,0.0001180458069
141,0.975,53.13902545,0.0001046500603
142,0.7356338028,1198.376429,6.28E-05
143,0.8283018868,345.3347175,5.29E-05
144,0.94,172.322886,0.000115981969
145,0.965,36.21463943,0.0001355051994
146,0.98,15.82892466,0.0001783867677
147,0.7761538462,1034.410825,5.69E-05
148,0.894,666.9131815,5.96E-05
149,0.844,500.3853307,7.34E-05
150,0.8519354839,242.7407615,6.85E-05
151,0.9235,407.2410088,5.72E-05
152,0.8488709677,1454.456816,5.58E-05
153,0.99,10.83748841,0.0002424693108
154,0.8001388889,1171.013103,5.62E-05
155,0.9057142857,62.78612876,9.66E-05
156,0.850952381,193.8264644,8.27E-05
157,0.9778571429,211.7198958,9.55E-05
158,0.7560227273,892.0869439,0.006838912639
159,0.948,177.8834839,0.0002895298004
160,0.9673333333,32.72344732,9.29E-05
161,0.97125,82.70139337,0.0002643047273
162,0.7654929577,761.3592088,5.63E-05
163,0.9413636364,233.0880392,8.73E-05
164,0.995,32.65937495,0.0001378455758
165,0.9783333333,174.8745706,0.000105420351
166,0.8090588235,1359.188592,5.44E-05
167,0.98,6.790665627,0.0002523285151
168,0.8866666667,173.6991656,6.42E-05
169,0.8195238095,479.9156129,6.12E-05
170,0.9655,70.85544872,8.12E-05
171,0.7684285714,363.9014897,4.95E-05
172,0.9813333333,50.171206,9.32E-05
173,0.9933333333,6.730972528,0.0003439823786
174,0.7371428571,627.4019618,5.47E-05
175,0.979,27.57625985,0.0001214237213
176,0.9286666667,64.57815862,9.60E-05
177,0.9757142857,64.01649022,9.72E-05
178,0.884516129,151.2165043,8.45E-05
179,0.9822222222,32.40976262,0.0001324794028
180,0.95125,58.20724463,8.88E-05
181,0.9658823529,64.8128252,8.84E-05
182,0.7463013699,502.3418548,4.99E-05
183,0.9392592593,166.8293362,7.46E-05
184,0.9695238095,122.2845349,7.67E-05
185,0.9933333333,6.185815573,0.000326008002
186,1,10.40255141,0.0002421444654
187,0.7828235294,357.9706383,4.60E-05
188,0.8439130435,348.6902244,5.59E-05
189,0.8845454545,233.6645768,6.94E-05
190,0.944,43.55874443,0.0001212508678
191,0.9076923077,236.4675338,7.61E-05
192,0.8035416667,394.7117281,5.96E-05
193,0.8142372881,425.9748695,5.86E-05
194,0.7713793103,943.6918716,6.69E-05
195,0.848,343.9624133,5.46E-05
196,0.9304,174.6441848,7.18E-05
197,0.8859183673,209.2287712,5.36E-05
198,0.941875,62.22395444,8.96E-05
199,0.94875,39.52237129,0.0001440048218
