Class 1,Class 2,Modularized Accuracy,Trained Model Accuracy,Convergance (Dynamic),Convergance (Scratch)
0,0,0.9808080808080808,1.0
0,1,0.9954545454545455,1.0
0,2,0.9813131313131314,0.9994949494949495
0,3,0.9858585858585859,1.0
0,4,0.9904040404040404,1.0
0,5,0.8580808080808081,0.9994949494949495
0,6,0.9585858585858585,0.9994949494949495
0,7,0.9974747474747475,1.0
0,8,0.9797979797979798,0.998989898989899
0,9,0.9984848484848485,0.9994949494949495
1,0,0.9962529274004683,1.0
1,1,0.9957845433255269,1.0
1,2,0.9981264637002342,1.0
1,3,0.994847775175644,0.9995316159250586
1,4,0.9995316159250586,1.0
1,5,0.9981264637002342,1.0
1,6,0.9985948477751756,1.0
1,7,0.9995316159250586,1.0
1,8,0.9967213114754099,1.0
1,9,0.9985948477751756,1.0
2,0,0.984251968503937,0.9990157480314961
2,1,0.9931102362204725,0.9896653543307087
2,2,0.985236220472441,0.9975393700787402
2,3,0.9832677165354331,1.0
2,4,0.9950787401574803,1.0
2,5,0.8361220472440944,1.0
2,6,0.9778543307086615,0.999507874015748
2,7,0.5743110236220472,1.0
2,8,0.9552165354330708,0.999507874015748
2,9,0.5871062992125984,1.0
3,0,0.9855721393034826,1.0
3,1,0.9940298507462687,1.0
3,2,0.9905472636815921,1.0
3,3,0.9830845771144279,0.9995024875621891
3,4,0.9980099502487563,0.9995024875621891
3,5,0.9915422885572139,1.0
3,6,0.9855721393034826,1.0
3,7,0.9985074626865672,1.0
3,8,0.9925373134328358,0.9990049751243781
3,9,0.9930348258706467,1.0
4,0,0.9889001009081736,1.0
4,1,0.9959636730575177,1.0
4,2,0.9959636730575177,1.0
4,3,0.9954591321897074,0.9994954591321897
4,4,0.9964682139253279,1.0
4,5,0.9772956609485368,0.9974772956609486
4,6,0.9954591321897074,0.9994954591321897
4,7,0.987891019172553,1.0
4,8,0.9939455095862765,0.9994954591321897
4,9,0.9974772956609486,1.0
5,0,0.9746300211416491,0.9984143763213531
5,1,0.9936575052854123,1.0
5,2,0.9741014799154334,0.9994714587737844
5,3,0.9624735729386892,0.9994714587737844
5,4,0.9820295983086681,1.0
5,5,0.9820295983086681,1.0
5,6,0.9725158562367865,1.0
5,7,0.9968287526427061,1.0
5,8,0.9889006342494715,0.9994714587737844
5,9,0.9978858350951374,1.0
6,0,0.9821246169560777,0.9994892747701737
6,1,0.9948927477017364,1.0
6,2,0.975485188968335,1.0
6,3,0.982635342185904,1.0
6,4,0.9856996935648621,1.0
6,5,0.9892747701736466,1.0
6,6,0.9744637385086823,0.9989785495403473
6,7,0.9969356486210419,1.0
6,8,0.982635342185904,1.0
6,9,0.9964249233912156,1.0
7,0,0.9871794871794872,0.9990138067061144
7,1,0.9945759368836292,0.9985207100591716
7,2,0.9935897435897436,1.0
7,3,0.9847140039447732,0.9995069033530573
7,4,0.9995069033530573,0.9990138067061144
7,5,0.9935897435897436,0.9995069033530573
7,6,0.9921104536489151,0.9995069033530573
7,7,0.9965483234714004,1.0
7,8,0.9916173570019724,1.0
7,9,0.9985207100591716,1.0
8,0,0.8880445795339412,1.0
8,1,0.9746707193515705,0.9994934143870314
8,2,0.9290780141843972,1.0
8,3,0.8206686930091185,0.9994934143870314
8,4,0.8956433637284701,0.9994934143870314
8,5,0.9903748733535968,1.0
8,6,0.8429584599797366,1.0
8,7,0.993920972644377,1.0
8,8,0.9685916919959473,1.0
8,9,0.9969604863221885,1.0
9,0,0.975609756097561,0.9970134395221503
9,1,0.9940268790443006,1.0
9,2,0.9915380786460926,1.0
9,3,0.9900447984071677,0.9995022399203584
9,4,0.9930313588850174,0.9995022399203584
9,5,0.9766052762568442,1.0
9,6,0.9900447984071677,1.0
9,7,0.982080637132902,1.0
9,8,0.9905425584868094,0.9985067197610752
9,9,0.9965156794425087,1.0
